,from,to,weight,from_name,from_Degree,from_Closeness,from_Betweeness,from_PageRank,from_Constraint,from_Alpha,to_name,to_Degree,to_Closeness,to_Betweeness,to_PageRank,to_Constraint,to_Alpha
1,1,106,0.0425312430532605,HIVEP2,6,0.0316168105103509,0,0.00283095678604548,0.180490016851482,1,ARNT,3,0.0311480512174834,3,0.00446031488280676,0.370796764869009,1.0674179010831
2,2,110,0.0399697262797856,LYL1,3,0.0301915443470913,0,0.00283095678604548,0.350728886150287,1,ZNF639,2,0.0244164928999105,0,0.00436405008193149,0.528699090205091,1.06448918654314
3,3,111,0.0374529231274051,RXRA,3,0.0322249063589654,16,0.00425408874438588,0.352951522310957,1.02387681654446,ZNF503,4,0.030970261653196,0,0.0123376773491115,0.261053298414968,1.12139512153291
4,4,65,0.0374063816845634,ZNF787,2,0.0192610182378935,8,0.00383448095599767,0.525449795479244,1.02529676737286,IRF1,3,0.0168139500766063,6,0.00849657886678216,0.357193861392598,1.059463315613
5,1,83,0.0363768417930356,HIVEP2,6,0.0316168105103509,0,0.00283095678604548,0.180490016851482,1,IKZF3,5,0.0311842513144422,47,0.00500570151157982,0.259583783071063,1.06427833682518
6,5,112,0.0355587064067414,ZNF318,10,0.031189545939442,20,0.00357514833427411,0.141655372569014,1.02162477327426,BAZ2A,2,0.0262930394660133,0,0.00380365240762771,0.641847382852013,1.06430151882966
7,6,113,0.0349062091541485,SP110,8,0.0283905799118167,14,0.00314488281723764,0.128900266966409,1.02340058100537,FOXP1,1,0.0235385822165668,0,0.00333717030413211,1,1.03572303472905
8,7,114,0.0343576392018815,ZEB1,5,0.0247361960651731,0,0.00283095678604548,0.205200497718733,1,FOXJ3,1,0.0210203369641437,0,0.00344062379156789,1,1.03435763920188
9,8,111,0.0335184484980342,KLF13,4,0.0294198638670981,15,0.00572365348146794,0.262355907008422,1.04167119150874,ZNF503,4,0.030970261653196,0,0.0123376773491115,0.261053298414968,1.12139512153291
10,9,88,0.0333209532273309,AHR,4,0.0258153062934715,0,0.0216321018446309,0.734855450053782,1.06958755751553,MYCL,10,0.028919468223646,51,0.039918946769425,0.207277425959497,1.21384621142151
11,10,67,0.0330532048065464,ETS1,6,0.0293349041947185,9,0.0036151867529166,0.206280914438764,1.02135530076264,ZNF675,5,0.0264431570044552,6,0.00441430650003633,0.257873358427991,1.05587449752994
12,11,84,0.0326831948990082,ZFP91,3,0.0171635941029358,0,0.00283095678604548,0.341536233646713,1,POU2AF1,2,0.0193815413865589,1,0.00374391003343104,0.52076063840738,1.03268319489901
13,6,115,0.03173204023032,SP110,8,0.0283905799118167,14,0.00314488281723764,0.128900266966409,1.02340058100537,JUND,2,0.0249711452576235,0,0.00392980051181763,0.520453179547128,1.05463373419739
14,12,116,0.0313176223881992,NFAT5,4,0.0231602005302396,8,0.00489643127393956,0.254705526380029,1.0463803677986,IKZF1,1,0.0201241318741491,0,0.00508623603464665,1,1.03277014523314
15,11,117,0.0310464642226852,ZFP91,3,0.0171635941029358,0,0.00283095678604548,0.341536233646713,1,IRF7,1,0.0154510501749925,0,0.00369819055616873,1,1.03104646422269
16,13,118,0.0309484308388924,ZBTB7A,8,0.0289812232878009,73,0.00525640722663799,0.128194132163789,1.04345677410331,NFE2L2,1,0.0244245733253821,0,0.00372020026611163,1,1.03229334980671
17,14,119,0.0306985583115392,ZKSCAN5,2,0.0187795824561808,1,0.00523727005418414,0.512913921030537,1.02219759483509,ZNF564,3,0.0213104125500318,0,0.00946850514051484,0.345028644040574,1.07435224355189
18,15,120,0.0306937747002826,NFYA,1,0.0141638325969356,0,0.00283095678604548,1,1,HMGA1,2,0.0155719448514346,0,0.012459362090949,0.510182820778573,1.05509038649656
19,16,75,0.0305896153571813,ZNF225,7,0.0204703394429269,3,0.00324272530471987,0.220557928649311,1.02307639141353,ATF2,7,0.023100674340681,10,0.00377250622382748,0.196187338346753,1.05241224948026
20,17,121,0.0298251906440923,ZNF280D,7,0.0286231188687813,8,0.00319085697958752,0.211066699219735,1.02682757336449,NR1D2,2,0.0248848426828268,0,0.00414069657948395,0.515051688286082,1.05163116966856
21,7,21,0.0297894253060457,ZEB1,5,0.0247361960651731,0,0.00283095678604548,0.205200497718733,1,ZNF644,2,0.0214761829006184,1,0.0033595620728015,0.500103705602844,1.02978942530605
22,18,88,0.0297353520351649,ETS2,3,0.0266038149220821,0,0.00283095678604548,0.661100525473927,1,MYCL,10,0.028919468223646,51,0.039918946769425,0.207277425959497,1.21384621142151
23,19,89,0.0295043934337578,HIVEP3,1,0.0234456989988198,0,0.00283095678604548,1,1,E2F1,4,0.0273861315778839,24,0.00860442196660885,0.254640716080257,1.07621226350013
24,13,122,0.0292514001941247,ZBTB7A,8,0.0289812232878009,73,0.00525640722663799,0.128194132163789,1.04345677410331,IRF3,1,0.0246369796628953,0,0.00367143936304071,1,1.03052257168457
25,20,123,0.029110813798192,MBD4,2,0.017352779663191,0,0.00283095678604548,0.500458208606173,1,MAFF,1,0.015702850738055,0,0.0040705358393422,1,1.02911081379819
26,2,49,0.0290474768885791,LYL1,3,0.0301915443470913,0,0.00283095678604548,0.350728886150287,1,ZBTB10,3,0.0289313986936498,2,0.00359027637154584,0.339593967597903,1.02904747688858
27,21,124,0.0289435658145497,ZNF644,2,0.0214761829006184,1,0.0033595620728015,0.500103705602844,1.02978942530605,SNAPC2,1,0.0190173828509757,0,0.00568658454792676,1,1.02980577800647
28,16,125,0.0287103168008211,ZNF225,7,0.0204703394429269,3,0.00324272530471987,0.220557928649311,1.02307639141353,HSF1,2,0.0182596728807808,0,0.00576732270764914,0.515929607693765,1.04938637249326
29,22,126,0.0287048132512283,AEBP1,3,0.0292817053810417,0,0.00283095678604548,0.337263434709874,1,ZBTB18,3,0.0281078048086184,0,0.00493676428622989,0.338717165496255,1.07383176116438
30,23,127,0.0286242956700733,SP1,2,0.0286616015768735,1,0.00314537971896369,0.507572298256267,1.02235109196105,KDM2A,3,0.0258809720028395,0,0.00702991664065415,0.334911719816308,1.07903077810573
31,24,128,0.0284712102426292,NFATC1,3,0.0248243610451264,0,0.00283095678604548,0.33780906806891,1,ZNF184,1,0.0216426688873728,0,0.00376248602302852,1,1.02847121024263
32,10,129,0.0284105750819194,ETS1,6,0.0293349041947185,9,0.0036151867529166,0.206280914438764,1.02135530076264,ZIK1,2,0.0271583320823992,0,0.00987449884420468,0.514539127856746,1.05019430790719
33,5,130,0.0283460420768856,ZNF318,10,0.031189545939442,20,0.00357514833427411,0.141655372569014,1.02162477327426,PRR12,1,0.0263449063500928,0,0.00321945097942303,1,1.02895901881002
34,25,30,0.0282090687894213,ZNF404,3,0.0263615021561295,6,0.003462435171345,0.338891453456505,1.02293247333153,ZBTB4,5,0.027796340380262,18,0.00682238162384232,0.202521662110831,1.0769326862148
35,26,43,0.0279342909818391,NCOA2,6,0.0233979960833496,16,0.00594324853945238,0.169207633308836,1.04100542524695,HMGN3,4,0.0230304779157571,8,0.00523400870864965,0.250749893470283,1.05342283985808
36,13,56,0.0279341638584297,ZBTB7A,8,0.0289812232878009,73,0.00525640722663799,0.128194132163789,1.04345677410331,EGR1,2,0.024838834779015,6,0.00363359111705627,0.502470302535294,1.02914809250699
37,27,131,0.0278697348151609,ZNF43,2,0.0194975266241025,0,0.00283095678604548,0.509299762736629,1,HMBOX1,1,0.0175175950721792,0,0.00419820001482425,1,1.02786973481516
38,28,132,0.027594817886501,MLXIP,2,0.0256273385424486,0,0.00283095678604548,0.50656492862184,1,MBD6,1,0.0223411010499567,0,0.00417197783188422,1,1.0275948178865
39,29,133,0.0275768678152027,ZNF664,5,0.0218289251402682,0,0.00283095678604548,0.201356213188654,1,SNAPC4,1,0.0193998597103493,0,0.00338009847279894,1,1.0275768678152
40,20,134,0.0274000939189097,MBD4,2,0.017352779663191,0,0.00283095678604548,0.500458208606173,1,FOSB,2,0.019236971056824,0,0.00442762121049596,0.502060755121114,1.05149430546614
41,30,135,0.0273955836047283,ZBTB4,5,0.027796340380262,18,0.00682238162384232,0.202521662110831,1.0769326862148,YBX1,2,0.0262703019873741,0,0.00720339480771745,0.5095970830022,1.05023154849618
42,1,100,0.0273283410792964,HIVEP2,6,0.0316168105103509,0,0.00283095678604548,0.180490016851482,1,ZNF107,2,0.0287575795206809,1,0.00321539693639312,0.510179678650424,1.0273283410793
43,31,83,0.0272920998990686,MYBL2,4,0.0305434649019596,27,0.00523727005418414,0.251811368763004,1.0223286275271,IKZF3,5,0.0311842513144422,47,0.00500570151157982,0.259583783071063,1.06427833682518
44,17,112,0.0272429998809689,ZNF280D,7,0.0286231188687813,8,0.00319085697958752,0.211066699219735,1.02682757336449,BAZ2A,2,0.0262930394660133,0,0.00380365240762771,0.641847382852013,1.06430151882966
45,32,88,0.0269465674504422,CSRNP1,6,0.0287930386572466,21,0.00898009383947235,0.205171338350476,1.06452428095687,MYCL,10,0.028919468223646,51,0.039918946769425,0.207277425959497,1.21384621142151
46,33,86,0.0269459452059243,TGIF1,3,0.0238398926874504,0,0.00283095678604548,0.335764766468774,1,FLI1,4,0.0274351999840913,10,0.00559177856175864,0.253720492382048,1.04853499171352
47,32,136,0.0267397955960246,CSRNP1,6,0.0287930386572466,21,0.00898009383947235,0.205171338350476,1.06452428095687,GLMP,3,0.0249177367183436,0,0.00908886205290799,0.33624730555209,1.07457138987399
48,34,137,0.0267268329005889,ZNF416,3,0.0274171819025032,0,0.00283095678604548,0.336920434559711,1,ZNF441,1,0.0237910234913884,0,0.00375072981225404,1,1.02672683290059
49,35,138,0.0266011234601496,MEF2D,3,0.025979245775764,12,0.00477384145200745,0.336496391924205,1.02321392383801,TCF7L2,1,0.0227142129927292,0,0.00508111545408389,1,1.02721863991416
50,12,139,0.0264769491331776,NFAT5,4,0.0231602005302396,8,0.00489643127393956,0.254705526380029,1.0463803677986,KDM2B,1,0.0205403236956649,0,0.00473764412029294,1,1.02770495977216
51,17,140,0.0264105142052988,ZNF280D,7,0.0286231188687813,8,0.00319085697958752,0.211066699219735,1.02682757336449,CTCF,1,0.0247339977936247,0,0.00330147448991611,1,1.02711904421274
52,5,17,0.0262597130240952,ZNF318,10,0.031189545939442,20,0.00357514833427411,0.141655372569014,1.02162477327426,ZNF280D,7,0.0286231188687813,8,0.00319085697958752,0.211066699219735,1.02682757336449
53,36,141,0.0261966690426224,MZF1,1,0.0208854422290806,0,0.00283095678604548,1,1,SREBF1,3,0.0235674893476401,0,0.0107834808616457,0.333914412523113,1.07531003994086
54,22,111,0.0261601020773363,AEBP1,3,0.0292817053810417,0,0.00283095678604548,0.337263434709874,1,ZNF503,4,0.030970261653196,0,0.0123376773491115,0.261053298414968,1.12139512153291
55,37,142,0.0260415720413608,ARID5B,1,0.0177805622009905,0,0.00283095678604548,1,1,POU2F2,2,0.0196755330255339,0,0.00572192931537879,0.500571245767008,1.05038025312091
56,5,143,0.0257608627997189,ZNF318,10,0.031189545939442,20,0.00357514833427411,0.141655372569014,1.02162477327426,TET3,3,0.027665886643731,0,0.00484510517088093,0.394031008428027,1.07351473068753
57,6,144,0.0256049688057021,SP110,8,0.0283905799118167,14,0.00314488281723764,0.128900266966409,1.02340058100537,NR1H2,1,0.0246616517972446,0,0.00320228273789529,1,1.02620413995238
58,38,107,0.0255788331758961,NFIL3,1,0.0231730464529411,0,0.00283095678604548,1,1,MAF,3,0.0264318207060409,5,0.00750665828893013,0.336936393045099,1.05186687359337
59,39,88,0.0253564948551961,MAFB,6,0.0306892515998155,42,0.00965809352549999,0.167076635954607,1.07054253169291,MYCL,10,0.028919468223646,51,0.039918946769425,0.207277425959497,1.21384621142151
60,40,127,0.0253132507248889,ZXDC,3,0.0241564278757063,0,0.00283095678604548,0.335728279742892,1,KDM2A,3,0.0258809720028395,0,0.00702991664065415,0.334911719816308,1.07903077810573
61,7,145,0.0252768919837188,ZEB1,5,0.0247361960651731,0,0.00283095678604548,0.205200497718733,1,ZNF33A,2,0.0280652845440463,0,0.00356942825394187,0.505170200824493,1.04588757863283
62,41,44,0.0252049431153016,ZBTB5,2,0.0235848069259421,8,0.00523727005418414,0.502986616994501,1.02158843717334,HIVEP1,6,0.0268759701141471,21,0.00968894960024066,0.167476073809303,1.04938908261611
63,40,146,0.0251999808800093,ZXDC,3,0.0241564278757063,0,0.00283095678604548,0.335728279742892,1,NR2C2,1,0.0214415381339634,0,0.00367921777938479,1,1.02519998088001
64,10,147,0.0251906292300452,ETS1,6,0.0293349041947185,9,0.0036151867529166,0.206280914438764,1.02135530076264,ZNF524,2,0.0256236496015132,0,0.00465436411620821,0.50376491575364,1.04689647010486
65,42,148,0.025155708515575,ZNF439,1,0.01614597057938,0,0.00283095678604548,1,1,FOS,2,0.0176358849256705,0,0.00641270550256714,0.506416022820734,1.04519211646463
66,13,57,0.0250857260833236,ZBTB7A,8,0.0289812232878009,73,0.00525640722663799,0.128194132163789,1.04345677410331,ZKSCAN8,6,0.0279257479331239,51,0.00426926582071933,0.167495824649984,1.04810608566175
67,43,149,0.0250718546485426,HMGN3,4,0.0230304779157571,8,0.00523400870864965,0.250749893470283,1.05342283985808,ZNF473,1,0.0205610414591261,0,0.00506449115507488,1,1.02641126432438
68,44,107,0.025050804180219,HIVEP1,6,0.0268759701141471,21,0.00968894960024066,0.167476073809303,1.04938908261611,MAF,3,0.0264318207060409,5,0.00750665828893013,0.336936393045099,1.05186687359337
69,45,150,0.0249567680757102,ZNF436,2,0.0210364007802012,3,0.00345642914609886,0.504525392559827,1.02170150384356,ZNF18,1,0.018965379111331,0,0.00576892156022951,1,1.02549836747403
70,43,151,0.0248679901477885,HMGN3,4,0.0230304779157571,8,0.00523400870864965,0.250749893470283,1.05342283985808,KLF6,4,0.0207061419840846,0,0.00986337853345441,0.251350980580234,1.0899872648705
71,46,141,0.0248431098156252,ZNF101,3,0.0267642032124368,16,0.007282636332102,0.333381349225789,1.02488181056686,SREBF1,3,0.0235674893476401,0,0.0107834808616457,0.333914412523113,1.07531003994086
72,47,136,0.0248422534284221,DRAP1,1,0.0220754233562617,0,0.00283095678604548,1,1,GLMP,3,0.0249177367183436,0,0.00908886205290799,0.33624730555209,1.07457138987399
73,48,90,0.0247594724124986,ZNF559,2,0.0258822939305376,0,0.00283095678604548,0.503926737821785,1,ZNF14,2,0.0276267779262578,1,0.00414073696581885,0.502578355810346,1.0247594724125
74,49,152,0.0247347798225898,ZBTB10,3,0.0289313986936498,2,0.00359027637154584,0.339593967597903,1.02904747688858,NR4A2,2,0.029249865417448,0,0.013898846064013,0.501403720745943,1.04974035145374
75,50,88,0.0245706262959453,MEF2B,2,0.0276004528112257,0,0.00283095678604548,0.501360421486195,1,MYCL,10,0.028919468223646,51,0.039918946769425,0.207277425959497,1.21384621142151
76,6,153,0.0245541348989657,SP110,8,0.0283905799118167,14,0.00314488281723764,0.128900266966409,1.02340058100537,SETDB1,1,0.0247953079885369,0,0.00318704343400799,1,1.02512871592169
77,29,110,0.024519460263351,ZNF664,5,0.0218289251402682,0,0.00283095678604548,0.201356213188654,1,ZNF639,2,0.0244164928999105,0,0.00436405008193149,0.528699090205091,1.06448918654314
78,51,127,0.0244534474459224,ZNF549,4,0.0229473474102314,0,0.00283095678604548,0.251200060054516,1,KDM2A,3,0.0258809720028395,0,0.00702991664065415,0.334911719816308,1.07903077810573
79,52,46,0.0243835669139673,CEBPD,2,0.0235924987333002,9,0.00523727005418414,0.5038839358349,1.0204335835953,ZNF101,3,0.0267642032124368,16,0.007282636332102,0.333381349225789,1.02488181056686
80,53,43,0.0243430913955557,THAP7,3,0.0247788840790665,0,0.00283095678604548,0.3350571068894,1,HMGN3,4,0.0230304779157571,8,0.00523400870864965,0.250749893470283,1.05342283985808
81,29,142,0.0243386810795499,ZNF664,5,0.0218289251402682,0,0.00283095678604548,0.201356213188654,1,POU2F2,2,0.0196755330255339,0,0.00572192931537879,0.500571245767008,1.05038025312091
82,54,106,0.0243262926429151,ZKSCAN1,4,0.032245405188597,4,0.00343311631294125,0.250931349818739,1.0230353796672,ARNT,3,0.0311480512174834,3,0.00446031488280676,0.370796764869009,1.0674179010831
83,55,143,0.0242712689781089,MBD1,2,0.0243040068856014,0,0.00283095678604548,0.501250451463577,1,TET3,3,0.027665886643731,0,0.00484510517088093,0.394031008428027,1.07351473068753
84,56,154,0.0242651064904244,EGR1,2,0.024838834779015,6,0.00363359111705627,0.502470302535294,1.02914809250699,ZNF207,1,0.022071800624986,0,0.00591950923554331,1,1.0249723880591
85,57,89,0.0242203550536172,ZKSCAN8,6,0.0279257479331239,51,0.00426926582071933,0.167495824649984,1.04810608566175,E2F1,4,0.0273861315778839,24,0.00860442196660885,0.254640716080257,1.07621226350013
86,10,155,0.0242018439946849,ETS1,6,0.0293349041947185,9,0.0036151867529166,0.206280914438764,1.02135530076264,ZNF700,1,0.0255603681951337,0,0.00339564015164901,1,1.0247186816522
87,58,156,0.0241418562517941,FIZ1,1,0.0242282254813946,0,0.00283095678604548,1,1,ZNF776,2,0.0275841765963224,0,0.00902853770456989,0.504093409886836,1.0456349421181
88,46,39,0.0241345501550841,ZNF101,3,0.0267642032124368,16,0.007282636332102,0.333381349225789,1.02488181056686,MAFB,6,0.0306892515998155,42,0.00965809352549999,0.167076635954607,1.07054253169291
89,59,134,0.0240942115472274,ZNF217,6,0.0212458496040752,0,0.00283095678604548,0.227821500413798,1,FOSB,2,0.019236971056824,0,0.00442762121049596,0.502060755121114,1.05149430546614
90,60,157,0.0240705382983284,ZNF672,2,0.022465632565345,0,0.00283095678604548,0.501916292718272,1,ZBTB44,1,0.0201942254137213,0,0.0041085982949904,1,1.02407053829833
91,57,30,0.0240111983995281,ZKSCAN8,6,0.0279257479331239,51,0.00426926582071933,0.167495824649984,1.04810608566175,ZBTB4,5,0.027796340380262,18,0.00682238162384232,0.202521662110831,1.0769326862148
92,16,158,0.0239791035980117,ZNF225,7,0.0204703394429269,3,0.00324272530471987,0.220557928649311,1.02307639141353,NR4A1,1,0.0185739576611126,0,0.00327366132246755,1,1.02453245477839
93,6,159,0.0239189253627048,SP110,8,0.0283905799118167,14,0.00314488281723764,0.128900266966409,1.02340058100537,RREB1,1,0.0248768055215504,0,0.00317783155847454,1,1.02447864211322
94,54,160,0.0238454830518044,ZKSCAN1,4,0.032245405188597,4,0.00343311631294125,0.250931349818739,1.0230353796672,SPEN,2,0.0314932640241512,0,0.00411584333322271,0.503829430657261,1.04483511150697
95,59,63,0.0237323187970724,ZNF217,6,0.0212458496040752,0,0.00283095678604548,0.227821500413798,1,JUNB,7,0.0211903214848886,17,0.00434789424177008,0.228766248587384,1.07031426953998
96,61,141,0.0236521195302832,IRF4,1,0.0211188896048533,0,0.00283095678604548,1,1,SREBF1,3,0.0235674893476401,0,0.0107834808616457,0.333914412523113,1.07531003994086
97,62,44,0.0236400041699015,NR3C1,1,0.0237388272718103,0,0.00283095678604548,1,1,HIVEP1,6,0.0268759701141471,21,0.00968894960024066,0.167476073809303,1.04938908261611
98,63,4,0.0236348968642007,JUNB,7,0.0211903214848886,17,0.00434789424177008,0.228766248587384,1.07031426953998,ZNF787,2,0.0192610182378935,8,0.00383448095599767,0.525449795479244,1.02529676737286
99,7,161,0.0234602357704515,ZEB1,5,0.0247361960651731,0,0.00283095678604548,0.205200497718733,1,VEZF1,2,0.027879201775589,0,0.00355472687453563,0.500625674836761,1.04531739492619
100,17,162,0.0234292634617276,ZNF280D,7,0.0286231188687813,8,0.00319085697958752,0.211066699219735,1.02682757336449,ZNF831,1,0.0251192659380426,0,0.00324836188318594,1,1.02405781374612
101,31,3,0.0233553242094152,MYBL2,4,0.0305434649019596,27,0.00523727005418414,0.251811368763004,1.0223286275271,RXRA,3,0.0322249063589654,16,0.00425408874438588,0.352951522310957,1.02387681654446
102,44,163,0.0232338782129133,HIVEP1,6,0.0268759701141471,21,0.00968894960024066,0.167476073809303,1.04938908261611,TFEB,1,0.0237865268322209,0,0.00493574709475508,1,1.02438137814346
103,6,164,0.0232315372270647,SP110,8,0.0283905799118167,14,0.00314488281723764,0.128900266966409,1.02340058100537,ZBTB38,1,0.0249656032882102,0,0.0031678629834025,1,1.02377516869583
104,64,165,0.0232256394740759,HHEX,3,0.028639529797371,1,0.00702121133462659,0.468440347167136,1.0441354598967,BHLHE40,3,0.0284085622719699,0,0.012530406584991,0.470708742460077,1.06814337196615
105,33,166,0.0231628206658235,TGIF1,3,0.0238398926874504,0,0.00283095678604548,0.335764766468774,1,SETBP1,1,0.0213838040194762,0,0.00360209586775808,1,1.02316282066582
106,24,167,0.0231450061408818,NFATC1,3,0.0248243610451264,0,0.00283095678604548,0.33780906806891,1,MTF1,1,0.0221743394892658,0,0.00358822174691819,1,1.02314500614088
107,59,16,0.0230763914135338,ZNF217,6,0.0212458496040752,0,0.00283095678604548,0.227821500413798,1,ZNF225,7,0.0204703394429269,3,0.00324272530471987,0.220557928649311,1.02307639141353
108,26,12,0.0230609349873354,NCOA2,6,0.0233979960833496,16,0.00594324853945238,0.169207633308836,1.04100542524695,NFAT5,4,0.0231602005302396,8,0.00489643127393956,0.254705526380029,1.0463803677986
109,57,168,0.0230599703840952,ZKSCAN8,6,0.0279257479331239,51,0.00426926582071933,0.167495824649984,1.04810608566175,CXXC5,2,0.0246550750647669,0,0.00615207541653663,0.500014406523877,1.04698302580608
110,39,76,0.0230396937341807,MAFB,6,0.0306892515998155,42,0.00965809352549999,0.167076635954607,1.07054253169291,SPIB,5,0.0305191003675418,16,0.0110670623687198,0.200133651977382,1.09177461815206
111,2,54,0.0230353796672011,LYL1,3,0.0301915443470913,0,0.00283095678604548,0.350728886150287,1,ZKSCAN1,4,0.032245405188597,4,0.00343311631294125,0.250931349818739,1.0230353796672
112,65,120,0.0230273303820437,IRF1,3,0.0168139500766063,6,0.00849657886678216,0.357193861392598,1.059463315613,HMGA1,2,0.0155719448514346,0,0.012459362090949,0.510182820778573,1.05509038649656
113,66,169,0.0230075050111411,CENPB,2,0.0178059827452267,1,0.00523727005418414,0.501220306623703,1.02084126345712,BCL11A,2,0.0194471739988028,0,0.00816304446631972,0.501349147693768,1.04568027740463
114,17,126,0.0230049041832313,ZNF280D,7,0.0286231188687813,8,0.00319085697958752,0.211066699219735,1.02682757336449,ZBTB18,3,0.0281078048086184,0,0.00493676428622989,0.338717165496255,1.07383176116438
115,67,170,0.0229434379310657,ZNF675,5,0.0264431570044552,6,0.00441430650003633,0.257873358427991,1.05587449752994,ELF2,1,0.0234801298736982,0,0.00413107443930227,1,1.02422539099707
116,5,6,0.0229052599521218,ZNF318,10,0.031189545939442,20,0.00357514833427411,0.141655372569014,1.02162477327426,SP110,8,0.0283905799118167,14,0.00314488281723764,0.128900266966409,1.02340058100537
117,3,39,0.022858425397183,RXRA,3,0.0322249063589654,16,0.00425408874438588,0.352951522310957,1.02387681654446,MAFB,6,0.0306892515998155,42,0.00965809352549999,0.167076635954607,1.07054253169291
